Date,Month,LOCAL Time,Temperature (degrees Celsius),Humidity (%),kW Power (kW)
1/1/12,1,1:00,18,78,205.412
1/1/12,1,1:15,17.8,77,204.552
1/1/12,1,1:30,17.8,76,208.624
1/1/12,1,1:45,17.8,80,205.724
1/1/12,1,2:00,17.6,84,202.532
1/1/12,1,2:15,17.4,82,203.988
1/1/12,1,2:30,17.3,83,206.364
1/1/12,1,2:45,17.2,82,202
1/1/12,1,3:00,17,81,205.632
1/1/12,1,3:15,16.8,83,201.008
1/1/12,1,3:30,16.6,83,206.732
1/1/12,1,3:45,16.6,80,203.3
1/1/12,1,4:00,16.8,79,204.488
1/1/12,1,4:15,17,80,200.96
1/1/12,1,4:30,16.9,81,201.852
1/1/12,1,4:45,16.7,83,212.676
1/1/12,1,5:00,16.5,85,209.66
1/1/12,1,5:15,16.4,86,204.972
1/1/12,1,5:30,16.2,83,207.204
1/1/12,1,5:45,16.2,83,208.1
1/1/12,1,6:00,16.2,85,205.184
1/1/12,1,6:15,16.1,86,203.664
1/1/12,1,6:30,16.1,86,203.732
1/1/12,1,6:45,16.1,86,203.892
1/1/12,1,7:00,16.3,83,202.896
1/1/12,1,7:15,16.4,83,204.768
1/1/12,1,7:30,16.8,80,203.32
1/1/12,1,7:45,17.5,76,209
1/1/12,1,8:00,18.6,72,206.332
1/1/12,1,8:15,20,63,217.5
1/1/12,1,8:30,20.9,60,209.72
1/1/12,1,8:45,22.1,56,209.84
1/1/12,1,9:00,22.7,53,205.256
1/1/12,1,9:15,23.5,50,206.752
1/1/12,1,9:30,23.9,50,206.064
1/1/12,1,9:45,24.2,47,221.676
1/1/12,1,10:00,24,49,204.268
1/1/12,1,10:15,24.2,50,209.984
1/1/12,1,10:30,24,49,205.956
1/1/12,1,10:45,24,48,205.82
1/1/12,1,11:00,24,45,206.036
1/1/12,1,11:15,24.2,48,202.224
1/1/12,1,11:30,24.3,45,202.12
1/1/12,1,11:45,24.6,43,205.052
1/1/12,1,12:00,24.5,45,207.88
1/1/12,1,12:15,24.7,45,208.064
1/1/12,1,12:30,24.6,45,206.956
1/1/12,1,12:45,24.7,45,213.08
1/1/12,1,13:00,24.7,43,210.48
1/1/12,1,13:15,24.8,46,203.98
1/1/12,1,13:30,24.6,45,204.144
1/1/12,1,13:45,24.5,48,205.2
1/1/12,1,14:00,24.4,47,204.784
1/1/12,1,14:15,24.3,46,210.72
1/1/12,1,14:30,24.4,48,212.94
1/1/12,1,14:45,24.6,48,206.028
1/1/12,1,15:00,24.3,49,203.62
1/1/12,1,15:15,24.4,48,200.04
1/1/12,1,15:30,24.4,49,207.064
1/1/12,1,15:45,24.2,50,209.676
1/1/12,1,16:00,24.3,49,297.424
1/1/12,1,16:15,24.1,50,419.768
1/1/12,1,16:30,24.2,50,642.32
1/1/12,1,16:45,24,50,555.032
1/1/12,1,17:00,24,52,532.32
1/1/12,1,17:15,23.9,55,542.812
1/1/12,1,17:30,23.7,55,526.72
1/1/12,1,17:45,23.6,57,512.088
1/1/12,1,18:00,23.3,57,503.392
1/1/12,1,18:15,23.2,59,501.912
1/1/12,1,18:30,23,60,515.972
1/1/12,1,18:45,22.8,61,513.352
