Date,LOCAL Time,Temperature (degrees Celsius),Humidity (%),kW Power (kW),kWh Power (kWh)
1/12/14,0:00,19.9,88,119.668,29.917
1/12/14,0:15,20,87,125.192,31.298
1/12/14,0:30,20,87,118.448,29.612
1/12/14,0:45,20,87,115.72,28.93
1/12/14,1:00,20,87,112.772,28.193
1/12/14,1:15,20,86,121.74,30.435
1/12/14,1:30,20.1,87,123.012,30.753
1/12/14,1:45,20,86,120.952,30.238
1/12/14,2:00,19.7,86,135.24,33.81
1/12/14,2:15,19.7,87,125.752,31.438
1/12/14,2:30,19.6,87,126.62,31.655
1/12/14,2:45,19.7,87,118.6,29.65
1/12/14,3:00,19.7,88,119.816,29.954
1/12/14,3:15,19.9,87,114.944,28.736
1/12/14,3:30,20.1,87,113.972,28.493
1/12/14,3:45,20.1,88,119.244,29.811
1/12/14,4:00,20.1,88,116.924,29.231
1/12/14,4:15,20.1,87,115.776,28.944
1/12/14,4:30,20.2,88,113.856,28.464
1/12/14,4:45,20.2,87,119.076,29.769
1/12/14,5:00,20.2,88,128.444,32.111
1/12/14,5:15,20.2,87,134.008,33.502
1/12/14,5:30,20.3,88,134.872,33.718
1/12/14,5:45,20.4,89,133.952,33.488
1/12/14,6:00,20.4,87,224.064,56.016
1/12/14,6:15,20.4,86,302.708,75.677
1/12/14,6:30,20.5,84,474.532,118.633
1/12/14,6:45,20.6,82,777.596,194.399
1/12/14,7:00,21,80,840.652,210.163
1/12/14,7:15,21.5,77,925.772,231.443
1/12/14,7:30,22,75,871.084,217.771
1/12/14,7:45,22.6,70,775.476,193.869
1/12/14,8:00,23.2,68,813.364,203.341
1/12/14,8:15,23.6,66,824.32,206.08
1/12/14,8:30,24.5,62,894.108,223.527
1/12/14,8:45,25.3,59,898.416,224.604
1/12/14,9:00,25.4,60,912.82,228.205
1/12/14,9:15,25.9,57,902.404,225.601
1/12/14,9:30,25.5,58,891.2,222.8
1/12/14,9:45,25.3,58,877.628,219.407
1/12/14,10:00,25.1,61,876.528,219.132
1/12/14,10:15,25.1,62,867.408,216.852
1/12/14,10:30,25.3,60,868.224,217.056
1/12/14,10:45,26,57,862.656,215.664
1/12/14,11:00,26.1,57,877.124,219.281
1/12/14,11:15,26.5,56,880.992,220.248
1/12/14,11:30,26.3,56,856.216,214.054
1/12/14,11:45,26.1,57,856.82,214.205
1/12/14,12:00,26,57,848.324,212.081
1/12/14,12:15,26.2,57,849.512,212.378
1/12/14,12:30,26.1,54,852.944,213.236
1/12/14,12:45,25.7,57,835.344,208.836
1/12/14,13:00,25.5,60,819.788,204.947
1/12/14,13:15,25.8,60,846.616,211.654
1/12/14,13:30,25.6,61,858.716,214.679
1/12/14,13:45,25.3,61,864.732,216.183
1/12/14,14:00,24.7,63,850.528,212.632
1/12/14,14:15,24.3,66,824.1,206.025
1/12/14,14:30,23.7,69,835.976,208.994
1/12/14,14:45,23.7,69,822.984,205.746
1/12/14,15:00,23.6,69,826.2,206.55
1/12/14,15:15,23.5,70,782.424,195.606
1/12/14,15:30,23.6,69,779.412,194.853
1/12/14,15:45,23.7,67,800.028,200.007
1/12/14,16:00,23.8,66,782.832,195.708
1/12/14,16:15,24.1,66,712.744,178.186
1/12/14,16:30,24.2,66,752.124,188.031
1/12/14,16:45,23.9,68,870.228,217.557
1/12/14,17:00,24.1,68,764.396,191.099
1/12/14,17:15,24.1,66,546.52,136.63
1/12/14,17:30,24.3,65,777.16,194.29
1/12/14,17:45,24.3,64,718.028,179.507
1/12/14,18:00,24.4,65,323.128,80.782
1/12/14,18:15,24.2,67,234.128,58.532
1/12/14,18:30,24,69,239.792,59.948
1/12/14,18:45,23.9,70,220.868,55.217
1/12/14,19:00,23.6,72,213.632,53.408
1/12/14,19:15,23.5,72,206.84,51.71
1/12/14,19:30,23.4,73,218.852,54.713
1/12/14,19:45,23.3,74,203.876,50.969
1/12/14,20:00,23.1,75,195.836,48.959
1/12/14,20:15,23.1,75,185.54,46.385
1/12/14,20:30,23.2,75,171.46,42.865
1/12/14,20:45,23.1,75,169.672,42.418
1/12/14,21:00,22.9,76,158.804,39.701
1/12/14,21:15,23,75,153.196,38.299
1/12/14,21:30,23.2,74,149.924,37.481
1/12/14,21:45,23.2,73,152.696,38.174
1/12/14,22:00,23.3,73,138.928,34.732
1/12/14,22:15,23.6,74,139.452,34.863
1/12/14,22:30,23.2,77,140.808,35.202
1/12/14,22:45,22.8,76,137.504,34.376
1/12/14,23:00,22.9,76,132.788,33.197
1/12/14,23:15,23.3,74,134.068,33.517
1/12/14,23:30,23.1,78,141.176,35.294
1/12/14,23:45,22.3,81,139.836,34.959
2/12/14,0:00,22.1,83,137.88,34.47
2/12/14,0:15,22.2,84,129.668,32.417
2/12/14,0:30,22.2,84,125.704,31.426
2/12/14,0:45,22.1,84,134.54,33.635
2/12/14,1:00,21.7,82,138.336,34.584
2/12/14,1:15,21.4,83,131.66,32.915
2/12/14,1:30,21.1,80,140.128,35.032
2/12/14,1:45,20.9,78,137.864,34.466
2/12/14,2:00,20.6,80,134.372,33.593
2/12/14,2:15,20.3,84,129.932,32.483
2/12/14,2:30,19.9,88,128.38,32.095
2/12/14,2:45,19.6,90,120.916,30.229
2/12/14,3:00,19.3,90,122.508,30.627
2/12/14,3:15,19.5,90,123.548,30.887
2/12/14,3:30,19.6,90,118.176,29.544
2/12/14,3:45,19.4,90,116.296,29.074
2/12/14,4:00,19.5,91,111.368,27.842
2/12/14,4:15,19.4,91,124.956,31.239
2/12/14,4:30,19.4,92,132.208,33.052
2/12/14,4:45,19.3,91,123.076,30.769
2/12/14,5:00,19.1,91,119.332,29.833
2/12/14,5:15,19.3,89,126.64,31.66
2/12/14,5:30,19.5,89,125.4,31.35
2/12/14,5:45,19.5,89,134.136,33.534
2/12/14,6:00,19.4,89,148.928,37.232
2/12/14,6:15,19.5,89,154.46,38.615
2/12/14,6:30,19.7,89,159.888,39.972
2/12/14,6:45,19.9,90,199.06,49.765
2/12/14,7:00,20,89,386.6,96.65
2/12/14,7:15,20.1,88,467.392,116.848
2/12/14,7:30,20.4,88,578.856,144.714
2/12/14,7:45,21.4,83,592.012,148.003
2/12/14,8:00,21.7,80,875.596,218.899
2/12/14,8:15,22.4,75,944.004,236.001
2/12/14,8:30,23.1,73,991.972,247.993
2/12/14,8:45,23.5,71,954.444,238.611
2/12/14,9:00,24.2,69,907.328,226.832
2/12/14,9:15,25.1,66,902.6,225.65
2/12/14,9:30,26,62,879.988,219.997
2/12/14,9:45,26.8,60,888.276,222.069
2/12/14,10:00,27.5,57,876.472,219.118
2/12/14,10:15,28.1,57,892.688,223.172
2/12/14,10:30,28.5,52,917.144,229.286
2/12/14,10:45,26.6,60,926.752,231.688
2/12/14,11:00,26.4,61,917.888,229.472
2/12/14,11:15,27.4,59,912.252,228.063
2/12/14,11:30,27.8,58,930.608,232.652
2/12/14,11:45,28.4,57,927.636,231.909
2/12/14,12:00,28,56,910.164,227.541
2/12/14,12:15,27.9,58,909.568,227.392
2/12/14,12:30,28,59,872.844,218.211
2/12/14,12:45,27.7,60,901.676,225.419
2/12/14,13:00,27,62,896.284,224.071
2/12/14,13:15,27,63,890.104,222.526
2/12/14,13:30,27.3,61,912.568,228.142
2/12/14,13:45,27.4,62,904.896,226.224
2/12/14,14:00,27.3,62,902.932,225.733
2/12/14,14:15,27.2,61,948.048,237.012
2/12/14,14:30,27.5,57,949.644,237.411
2/12/14,14:45,28,56,937.04,234.26
2/12/14,15:00,27.4,60,938.26,234.565
2/12/14,15:15,27.4,56,973.328,243.332
2/12/14,15:30,27.3,55,964.18,241.045
2/12/14,15:45,26.4,59,905.256,226.314
2/12/14,16:00,26.2,58,883.728,220.932
2/12/14,16:15,27.2,52,913.72,228.43
2/12/14,16:30,27.4,50,889.216,222.304
2/12/14,16:45,26.9,53,868.08,217.02
2/12/14,17:00,26.5,55,797.54,199.385
2/12/14,17:15,26.9,54,727.924,181.981
2/12/14,17:30,27.3,53,858.944,214.736
2/12/14,17:45,27.3,52,766.128,191.532
2/12/14,18:00,27,53,337.624,84.406
2/12/14,18:15,26.5,55,268.152,67.038
2/12/14,18:30,25.9,58,263.46,65.865
2/12/14,18:45,25.7,59,245.868,61.467
2/12/14,19:00,25.3,62,226.804,56.701
2/12/14,19:15,25.4,63,227.548,56.887
2/12/14,19:30,25.2,64,209.54,52.385
2/12/14,19:45,25,66,191.768,47.942
2/12/14,20:00,25.1,66,180.744,45.186
2/12/14,20:15,24.9,68,183.208,45.802
2/12/14,20:30,24.6,70,173.884,43.471
2/12/14,20:45,24.5,71,212.784,53.196
2/12/14,21:00,24.4,71,198.376,49.594
2/12/14,21:15,24.5,71,184.372,46.093
2/12/14,21:30,24.3,72,167.2,41.8
2/12/14,21:45,24.2,73,165.912,41.478
2/12/14,22:00,23.5,77,156.384,39.096
2/12/14,22:15,23.4,78,160.852,40.213
2/12/14,22:30,23.1,79,158,39.5
2/12/14,22:45,23.2,79,151.76,37.94
2/12/14,23:00,23.6,77,146.236,36.559
2/12/14,23:15,23.4,81,141.088,35.272
2/12/14,23:30,22.9,83,143.832,35.958
2/12/14,23:45,22.8,83,144.336,36.084
3/12/14,0:00,22.7,85,142.528,35.632
3/12/14,0:15,22.2,86,139.54,34.885
3/12/14,0:30,21.9,87,144.124,36.031
3/12/14,0:45,21.8,88,152.7,38.175
3/12/14,1:00,21.9,88,146.424,36.606
3/12/14,1:15,21.9,88,147.336,36.834
3/12/14,1:30,21.9,87,134.284,33.571
3/12/14,1:45,22,86,133.316,33.329
3/12/14,2:00,21.9,87,132.732,33.183
3/12/14,2:15,21.9,84,141.664,35.416
3/12/14,2:30,22,84,135.156,33.789
3/12/14,2:45,21.9,86,127.348,31.837
3/12/14,3:00,21.8,86,126.676,31.669
3/12/14,3:15,21.8,86,132.12,33.03
3/12/14,3:30,21.9,85,130.456,32.614
3/12/14,3:45,21.8,85,131.872,32.968
3/12/14,4:00,21.8,84,123.5,30.875
3/12/14,4:15,21.9,82,124.176,31.044
3/12/14,4:30,22,80,121.076,30.269
3/12/14,4:45,22.2,80,127.12,31.78
3/12/14,5:00,22,80,123.048,30.762
3/12/14,5:15,21.8,81,125.88,31.47
3/12/14,5:30,21.8,81,127.74,31.935
3/12/14,5:45,21.6,81,139.196,34.799
